published_dt,ticker,company,politician_name,type,owner,sector,size_avg_usd,trade_size_vs_market_cap,sentiment_score,mention_count,volume_spike_ratio,consensus_score_7d,signal_strength,fwd_1d_ret,fwd_3d_ret,fwd_5d_ret,fwd_10d_ret
2025-07-09,AA,Alcoa Corp,Michael McCaul,sell,spouse,Basic Materials,32500.0,0.0004236376056531,0.0,0.0,0.8289019793174537,0.0,0,0.007982120128861741,-0.04885053621343792,-0.08812261353048287,0.02490417582685269
2025-05-15,ABBV,AbbVie Inc,Josh Gottheimer,buy,joint,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,1.1237693657940928,0.0,0,0.01500276434042097,0.01958082179813506,0.006839438574201268,0.026530598332205127
2025-04-18,ABBV,AbbVie Inc,Dwight Evans,sell,undisclosed,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,1.051927469265503,1.0,0,-0.01908109491728482,0.0206375846305547,0.07257736928169253,0.1441171373959518
2025-05-12,ABBV,AbbVie Inc,Jared Moskowitz,buy,undisclosed,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,1.6378789976223755,5.0,0,-0.005448864127113794,-0.038882749568745274,-0.017563307871074817,-0.017510435274659012
2025-05-09,ABBV,AbbVie Inc,Rob Bresnahan,sell,undisclosed,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,1.596498284089479,5.0,0,0.05594448513454861,-0.014222208658854167,0.02233335706922743,0.018111080593532985
2025-05-07,ABBV,AbbVie Inc,Marjorie Taylor Greene,buy,undisclosed,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,0.5720239360622847,0.0,0,0.007874854232285618,0.032259828837710065,-0.0363330378754078,-0.012654112688138966
2025-06-10,ABBV,AbbVie Inc,Rob Bresnahan,buy,undisclosed,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,1.288605345912509,0.0,0,0.011408068574453206,0.00918984644986947,-0.020386609723299656,-0.02086192576656196
2025-06-12,ABBV,AbbVie Inc,Josh Gottheimer,buy,joint,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,0.5798473014364283,0.0,0,-0.0025057200545862556,-0.03173941276124185,-0.03267902791093506,-0.048287743359208594
2025-08-14,ABBV,AbbVie Inc,Lisa McClain,buy,spouse,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,0.7526456035919157,0.0,0,0.003788056750155878,0.0013598114434320663,,
2025-08-08,ABBV,AbbVie Inc,Ro Khanna,buy,spouse,Healthcare,8000.0,2.1910064235793112e-06,0.0,0.0,0.973361624323986,0.0,0,0.0023211561755365983,0.01660111346509265,0.0429408117879347,
2025-05-15,ABCB,Ameris Bancorp,Josh Gottheimer,sell,joint,Financial Services,8000.0,0.0001662493143878,0.0,0.0,1.67920789555843,0.0,0,0.004432524966128483,-0.005223967483343233,-0.02944430662606352,-0.0269114610973333
2025-05-15,ABG,Asbury Automotive Group Inc,Josh Gottheimer,sell,joint,Consumer Cyclical,8000.0,0.0001691561215191,0.0,0.0,1.537495192923984,0.0,0,0.0034577513718808506,-0.010885289220368093,-0.03265599793336092,-0.02710659520885997
2025-04-29,ABNB,Airbnb Inc,Rob Bresnahan,sell,undisclosed,Consumer Cyclical,8000.0,1.0412667091818918e-05,0.0,0.0,1.334505780855275,0.0,0,0.00714549470562058,0.03473629193716916,0.005080317725159153,0.14039075382047972
2025-05-15,ABNB,Airbnb Inc,Ro Khanna,sell,spouse,Consumer Cyclical,8000.0,1.0412667091818918e-05,0.0,0.0,0.89250887618794,0.0,0,0.0032715153635646307,-0.039403838958155864,-0.07197383719543574,-0.06215923563840697
2025-06-12,ABNB,Airbnb Inc,Ro Khanna,sell,child,Consumer Cyclical,8000.0,1.0412667091818918e-05,0.0,0.0,0.8102299508821391,0.0,0,-0.003968316708228029,-0.0199148050955474,-0.031966534722098414,-0.011463826701961026
2025-08-08,ABNB,Airbnb Inc,Ro Khanna,buy,spouse,Consumer Cyclical,8000.0,1.0412667091818918e-05,0.0,0.0,0.7490888659127872,0.0,0,-0.014248804716556332,0.037830187773630064,0.04241310096897314,
2025-04-17,ABT,Abbott Laboratories,Bruce Westerman,buy,undisclosed,Healthcare,8000.0,3.5284299545795658e-06,0.0,0.0,1.0646707499603718,0.0,0,-0.008246177147350944,-0.008627967261818076,-0.016186875600733987,0.014125418693385372
2025-04-15,ABT,Abbott Laboratories,Byron Donalds,buy,undisclosed,Healthcare,8000.0,3.5284299545795658e-06,0.0,0.0,0.78583641014105,0.0,0,0.0,0.0014649379019035134,0.0010794093519085075,0.00809562896271173
2025-05-15,ABT,Abbott Laboratories,Ro Khanna,sell,spouse,Healthcare,8000.0,3.5284299545795658e-06,0.0,0.0,1.4921411600511738,0.0,0,0.01239210838084014,0.015396193358833792,-0.012391993782343994,0.0032295002199145143
